Species,Mantis,date,Trial,Phylo,calibration,Food,lights,Notes,Machine Learning,Digitized,Frames to Extract (if necessary),Extracted,R notes,Ecomorph,Coxa_length,Femur_Length,Tibia_length,Body_length,PP_dist_cm_st,PP_dist_cm_at,PP_dist_cm_ttpc,PP_angle_st,PP_angle_at,PP_angle_ttpc,BD_dist_cm,BD_veloc_cm/s,Percent_lunge,Percent Arm,Coxa_angle,Coxa_AV,Coxa_dist,Coxa_LV,Femur_angle,Femur_AV,Femur_dist,Femur_LV,Tibia_angle,Tibia_AV_min,TIB_AV_max,Tibia_dist,Tibia_LV_min,Tibia_LV_max,Tibia_expansion,Tibia_expansion_velocity_min,Tibia_expansion_velocity_max,TTPC Approach,TTPC Sweep,Approach Time,TTP_COA,TTP_COD,TTP_FEA,TTP_FED,TTP_TIBA,TTP_TIBD,TTP_TIBE,AT_COA,AT_FEA,AT_TIBA,AT_MxCOAV,AT_MxFEAV,AT_MxTIBAV,AT_MnTIBAV,ST_MxCOAV,ST_MxFEAV,ST_MxTIBAV,ST_Mn_TIBAV,CF_lateral_disp,FT_lateral_disp,tib_lateral_disp,B_Tibia_angle,TTP_B.TIBA,TIB SYNC,BD_app,BD_Swp,PPD_m_app,PPD_m_swp,IJC.cf.mn,IJC.cf.sd,IJC.cf.sl,IJC.cf.R2,IJC.ct.mn,IJC.ct.sd,IJC.ct.sl,IJC.ct.R2,IJC.ft.mn,IJC.ft.sd,IJC.ft.sl,IJC.ft.R2,Coxa start,Femur start,Tib start,Max. Volume
Hymenopus coronatus,HC04,9/9/22,1,Hymenopus_coronatus_MN010,Lego_cal_15_point.csv,Bluebottle Fly,"IR, Spotlight on",,manual,yes,125 - 170,,complete,Flower,1.253924723,1.72719758,0.971611643,0.72257246,3.407273172,3.619020706,3.718248037,134.7858504,129.9141659,126.9491389,0.327710852,44.67266022,9.599549018,126.5271736,65.70400973,3639.484857,0.893351299,40.46064413,128.5342969,9136.730175,2.800378396,244.1090299,118.1258141,-12571.78577,9203.651242,2.231340751,-223.4732639,144.6481641,3.556768917,-247.6262279,238.7367266,0.031,0.014,0.017,0.037,0.034,0.034,0.034,0.028,0.025,0.027,29.86183397,8.245646077,41.2612986,3639.484857,3793.602189,6638.911885,-728.3936369,2383.507143,9136.730175,9203.651242,-12571.78577,0.521029626,1.460141933,2.033616769,131.2729784,0.028,1.05,NA,0.385145467,0.211747534,-1.196348068,1.65E-16,17.93178143,2.258817283,0.88197685,-2.13E-15,30.11678134,1.351324963,0.486692555,-2.01E-15,32.18424616,0.518053064,0.413798218,80.66303372,24.74026058,28.84795296,0.991826812
Hymenopus coronatus,HC04,9/9/22,2,Hymenopus_coronatus_MN010,Lego_cal_15_point.csv,Bluebottle Fly,"IR, Spotlight on",,manual,yes,105 - 145,,complete,Flower,1.453911867,1.716780332,0.935907534,0.683575171,3.483662179,3.338442687,3.307423056,114.2174899,120.3049546,124.235226,0.51812997,68.90872535,15.01881574,116.9838164,47.35419778,7486.273504,0.761744734,63.38785367,135.7854912,11235.95716,3.094615975,256.0421824,117.5506514,-17257.68583,14681.18197,1.917660478,-292.0336495,132.4837193,3.318293481,-366.4413816,275.2297901,0.018,0.012,0.006,0.023,0.025,0.021,0.025,0.013,0.017,0.019,17.00705732,12.37096381,43.00790995,4241.655338,5392.994869,6467.974648,464.3215072,7486.273504,11235.95716,14681.18197,-17257.68583,0.432068025,1.506710884,1.736469007,109.1758668,0.013,1,0.237880605,0.304095035,-0.145219492,-0.37413046,5.00E-16,15.00539424,3.679488313,0.919107822,-1.61E-16,27.76846501,1.884377099,0.465293652,-2.68E-16,27.60268512,0.494326796,0.471659071,94.29842961,12.34762435,45.44890359,1.117918168
Hymenopus coronatus,HC04,9/9/22,3,Hymenopus_coronatus_MN010,Lego_cal_15_point.csv,Bluebottle Fly,"IR, Spotlight on",fly was a bit below the mantis,manual,yes,60 - 110,,complete,Flower,1.568938152,1.581221696,0.911765553,0.7527369,2.187912498,1.96070708,1.757019832,146.4267151,149.2399288,149.7950896,0.684977739,69.50028421,31.26690539,126.7454477,38.13219541,4668.822804,0.840295583,60.35695281,104.8975068,5999.006071,2.569419981,182.6418052,149.4189718,-17847.75745,18630.16607,1.999489386,-170.2402103,190.5837568,2.350226219,-35.98349795,132.2366013,0.022,0.012,0.01,0.031,0.027,0.032,0.027,0.018,0.015,0.026,31.72475498,9.617376029,108.7286488,4668.822804,1880.702821,18630.16607,1747.691069,2554.50624,5999.006071,7589.653473,-17847.75745,0.460275032,1.376533438,2.086129722,146.470334,0.017,1.058823529,NA,0.408380377,-0.227205417,0.442063357,-3.28E-15,26.51264442,2.929344607,0.568263389,1.92E-15,42.59704537,1.563728583,0.12686483,3.24E-15,44.24981236,-0.271606607,0.057795019,97.35330771,10.68996289,19.81212733,0.689657667
Hymenopus coronatus,HC04,9/9/22,4,Hymenopus_coronatus_MN010,Lego_cal_15_point.csv,Bluebottle Fly,"IR, Spotlight on",,manual,yes,80  - 125,,complete,Flower,1.511970743,1.807981889,0.931924795,0.939193719,3.776149904,3.73017759,3.587564825,128.0739168,129.4860859,134.1242723,0.365415127,31.93047991,9.630730617,101.6589627,42.27576897,3767.919398,0.588484522,35.43762519,127.2439412,11403.73051,2.783857043,278.1518892,101.1496642,-10487.30215,10509.23973,1.561907083,-206.640253,128.5556455,3.149836157,-220.7299451,289.3263776,0.022,0.014,0.008,0.022,0.021,0.024,0.021,0.017,0.016,0.018,12.18539498,9.108810877,35.69410759,3767.919398,3667.480165,7773.604483,101.235535,3555.126174,11403.73051,10509.23973,-10487.30215,0.314744881,1.460964213,2.016200481,97.88531527,0.016,1.0625,NA,0.502500772,-0.045972314,-1.123794074,2.55E-16,8.422264748,3.452606629,0.969970868,-7.36E-16,36.66303064,0.236296224,0.007921047,-3.40E-15,36.73302752,0.048667072,0.004129286,106.6328572,12.87447445,23.51312266,1.061860421
Hymenopus coronatus,HC014,9/9/22,1,Hymenopus_coronatus_MN010,Lego_cal_15_point.csv,Bluebottle Fly,"IR, Spotlight on",grabbed fly wing not fly,manual,yes,55 - 100,,complete,Flower,1.11960837,1.676848399,0.983676768,0.752853474,2.422170827,2.453441538,2.600667851,124.6527203,122.1112204,125.5176278,0.270661722,36.37774824,11.0549337,131.0929243,83.7181026,5187.46298,0.985470607,67.37796559,113.5878206,8701.276682,2.105050012,161.7124545,139.0825204,-15902.25535,10327.19969,1.934273599,-231.673115,175.7068365,2.826074934,-225.8612508,182.4786422,0.022,0.01,0.012,0.025,0.025,0.028,0.025,0.019,0.018,0.022,48.50008613,6.823665411,91.87541988,5187.46298,3602.644432,10327.19969,-3640.265606,4347.711414,8701.276682,9346.044397,-15902.25535,0.544142333,1.35342456,1.791186251,137.7939203,0.018,1,0.129609164,0.322039588,0.031270712,-0.280224564,-2.44E-15,20.5046051,1.436732307,0.803585713,-2.93E-15,44.64992064,0.658634247,0.153492835,-2.31E-15,48.43730228,0.064608494,0.003794008,38.2915764,14.97080281,25.35663391,0.789692015
Hymenopus coronatus,HC014,9/9/22,2,Hymenopus_coronatus_MN010,Lego_cal_15_point.csv,Bluebottle Fly,"IR, Spotlight on",,manual,yes,115 - 165,,complete,Flower,1.245393988,1.692412606,0.889889241,0.705489481,3.307413841,3.534578975,3.540477901,118.8488902,108.8555857,112.3810006,0.898853668,72.76170338,26.84354284,115.9378399,64.20852098,4641.887969,1.054900289,54.65561959,127.6310785,10728.45836,2.568811482,241.0561732,131.174039,-15111.05519,12335.79636,2.15850408,-191.867617,154.1586661,3.417110753,-173.5837574,257.6107357,0.03,0.013,0.017,0.032,0.031,0.032,0.031,0.024,0.024,0.027,35.23563706,11.0880299,62.91997797,4641.887969,4160.384206,10231.29816,-571.2892979,3771.983875,10728.45836,12335.79636,-15111.05519,0.581366437,1.33944417,1.615407314,148.940589,0.024,1.157894737,0.344842175,0.862253842,0.227165134,-0.99824156,7.84E-16,26.11693136,2.129897342,0.74392919,1.57E-15,37.84584427,1.006497855,0.236028708,-4.04E-15,39.63793681,0.337634397,0.161963903,84.00544621,22.49982302,31.12911068,0.804451199
Hymenopus coronatus,HC014,9/9/22,3,Hymenopus_coronatus_MN010,Lego_cal_15_point.csv,Bluebottle Fly,"IR, Spotlight on",,manual,yes,150 - 210,,complete,Flower,1.446450926,1.683702373,0.997314637,0.81076423,2.026249668,1.942362526,1.793946733,128.7210169,126.502772,127.8993862,0.314442742,45.04310579,15.20205388,136.8577713,39.52548654,4246.865567,0.594078887,65.98051782,2.216450859,8846.93956,2.304307507,205.9629197,85.64481308,-10129.19967,9187.278903,1.228241126,-160.6596968,118.3504545,2.443856034,-108.8171224,221.4799685,0.017,0.008,0.009,0.028,0.021,0.002,0.021,0.017,0.012,0.018,21.33998865,10.81868057,32.09082222,4246.865567,3279.198997,5989.397211,190.9417901,3069.923706,8846.93956,9187.278903,-10129.19967,0.357954695,1.140707182,1.328528411,90.03074122,0.017,1.285714286,0.219005123,0.119612055,-0.083887142,0.649041093,-4.58E-17,17.21333307,2.843098686,0.826017216,-1.21E-15,17.78734701,1.670299598,0.605460483,2.97E-16,22.94151104,0.402285622,0.343685209,92.25419543,11.49362584,26.8913709,0.718014389
Hymenopus coronatus,HC014,9/9/22,4,Hymenopus_coronatus_MN010,Lego_cal_15_point.csv,Bluebottle Fly,"IR, Spotlight on",,manual,yes,130 - 175,,complete,Flower,1.352862662,1.711951888,1.000660054,0.782811785,1.98648799,1.828006471,1.845156297,117.7331922,122.8149784,123.4827107,0.288057454,37.04376483,14.76936074,134.3894187,33.30434625,3031.258286,0.41381232,54.80449991,100.9836554,9244.054536,1.93996231,170.2133502,78.4398652,-12986.31398,6995.78186,1.306324748,-214.5062292,138.0494812,1.989696586,-99.5507576,217.3330079,0.019,0.007,0.012,0.024,0.024,0.028,0.024,0.018,0.011,0.014,18.72936089,9.115465794,49.2729138,3001.788558,2199.466193,6995.78186,-2022.086441,3031.258286,9244.054536,6687.155504,-12986.31398,0.422300235,1.345535315,1.175708413,91.04220974,0.018,1.066666667,0.171458774,0.095128174,-0.158481519,0.341727535,8.08E-16,16.72701087,3.018526592,0.817080795,2.68E-16,23.24008993,0.839478411,0.151806616,7.97E-16,25.03032465,0.081860728,0.016097108,105.8444826,12.98855346,30.43814948,0.856198415
Hymenopus coronatus,HC04,9/11/22,5,Hymenopus_coronatus_MN010,Lego_cal_15_point.csv,Bluebottle Fly,"IR, Spotlight on","fly was a  close to the mantis, not a full strike",yes,yes,150 - 190,,complete,Flower,1.070000441,1.647728616,1.006308504,0.787033472,1.539806163,1.560636385,1.669681244,119.3463286,116.8039309,109.3886841,0.09526573,10.59909938,6.178207031,167.2926192,35.215746,2634.321989,0.454235596,32.78868993,83.98254516,7801.346049,1.772423728,163.9594081,94.29451996,-13694.29505,8736.991774,1.702993203,-203.6378092,157.3785954,1.968705832,-110.5273478,182.4810538,0.02,0.008,0.012,0.025,0.026,0.027,0.026,0.018,0.018,0.02,26.88442,8.000652843,57.15342022,2634.321989,2103.385522,7537.972074,-4062.929254,1125.191389,7801.346049,8736.991774,-13694.29505,0.478651622,1.225594148,1.368607877,90.92385803,0.016,0.941176471,0.018929805,0.148488155,0.020830222,0.396304287,2.49E-16,19.34026059,2.592941227,0.676231301,-2.41E-15,29.85746695,0.746811707,0.067770234,2.85E-15,30.61940761,-0.127318553,0.019583496,74.18223915,14.56829089,28.31588292,0.935972104
Hymenopus coronatus,HC04,9/11/22,6,Hymenopus_coronatus_MN010,Lego_cal_15_point.csv,Bluebottle Fly,"IR, Spotlight on",,yes,yes,120-155,,complete,Flower,1.158974995,1.706936393,1.149228379,0.8644444,2.619249688,2.613096946,2.250856439,101.625528,101.2295721,85.11623793,0.104262715,28.72251037,3.969980556,131.7585991,21.14987724,3509.716955,0.487347821,52.63344926,100.6591825,7597.280808,2.233198372,186.1591001,124.8770232,-17102.64694,10997.83462,2.311215864,-296.9532565,195.1713719,2.680393623,-213.6087856,262.8499608,0.026,0.019,0.007,0.022,0.025,0.024,0.025,0.015,0.015,0.017,19.39183052,8.150402707,62.98111139,3509.716955,4443.90248,7464.21723,1192.895037,1466.488871,7597.280808,10997.83462,-17102.64694,0.513426607,1.311733242,1.71259492,112.5161151,0.014,1.214285714,-0.000296455,0.232945097,-0.006152742,-0.734644231,-2.93E-15,29.17795085,4.315738905,0.48934534,1.20E-15,40.53832061,1.55941175,0.060869989,2.66E-15,41.25358892,-0.169699702,0.027437128,91.59412914,17.53173628,33.81095544,1.120452018
